doc_content|doc_title|doc_url|doc_key|doc_date|doc_year|doc_lang|doc_tdmcat|doc_srccat
The possibility of improving on the usual multivariate normal confidence was first discussed in Stein (1962). Using the ideas of shrinkage, through Bayesian and empirical Bayesian arguments, domination results, both analytic and numerical, have been obtained. Here we trace some of the developments in confidence set estimation.|Shrinkage Confidence Procedures|http://www.jstor.org/stable/23208823|23208823|2012-02-01|2012|['eng']|['Mathematics - Applied mathematics', 'Mathematics - Mathematical logic']|['Science & Mathematics', 'Statistics']
Objective: To examine the secular effects of opportunistic screening for cervical cancer in a rich, developed community where most other such populations have long adopted organised screening. Design, setting, and participants: The analysis was based on 15 140 cases of invasive cervical cancer from 1972 to 2001. The effects of chronological age, time period, and birth cohort were decomposed using both maximum likelihood and Bayesian methods. Results: The overall age adjusted incidence decreased from 24.9 in 1972-74 to 9.5 per 100,000 in 1999-2001, in a log-linear fashion, yielding an average annual reduction of 4.0% (p&lt; 0.001 ) during the 30 year period. There were two second order and thus identifiable changes: (1) around the mid-1920s cohort curve representing an age-period interaction masquerading as a cohort change that denotes the first availability of Pap testing during the 1960s concentrated among women in their 40s; (2) a hook around the calendar years 1982-83 when cervical cytology became a standard screening test for pregnant women. Conclusions: Hong Kong's cervical cancer rates have declined since Pap tests first became available in the 1960s, most probably because of increasing population coverage over time and in successive generations in a haphazard fashion and punctuated by the systematic introduction of routine cytology as part of antenatal care in the 1980s.|Age-period-cohort analysis of cervical cancer incidence in Hong Kong from 1972 to 2001 using maximum likelihood and Bayesian methods|http://www.jstor.org/stable/40794027|40794027|2006-08-01|2006|['eng']|['Health sciences - Medical specialties']|['Health Sciences', 'Medicine and Allied Health']
"Our article analyzes the determinants of local growth control decisions, which are modeled as the result of a political struggle between different groups of voters and organized lobbies. We show that under specific hypotheses, a higher homeownership rate can induce lower levels of controls. Considering residential choices as endogenous to growth control policies, the local decisions to control growth become strategically interdependent. Assuming imperfect mobility, we show that a spatial econometric specification can be directly derived from our theoretical model. Our empirical analysis concerning the determinants of the ""taxe locale d'équipement"", a French local development tax, is thus naturally based on spatial econometrics. Its results confirm the major predictions of our model."|Modeling local growth control decisions in a multi-city case: Do spatial interactions and lobbying efforts matter?|http://www.jstor.org/stable/23326395|23326395|2013-01-01|2013|['eng']|['Economics - Economic disciplines']|['Business', 'Business & Economics Collection', 'Economics', 'Political Science', 'Social Sciences']
Markov chain Monte Carlo methods for Bayesian computation have until recently been restricted to problems where the joint distribution of all variables has a density with respect to some fixed standard underlying measure. They have therefore not been available for application to Bayesian model determination, where the dimensionality of the parameter vector is typically not fixed. This paper proposes a new framework for the construction of reversible Markov chain samplers that jump between parameter subspaces of differing dimensionality, which is flexible and entirely constructive. It should therefore have wide applicability in model determination problems. The methodology is illustrated with applications to multiple change-point analysis in one and two dimensions, and to a Bayesian comparison of binomial experiments.|Reversible Jump Markov Chain Monte Carlo Computation and Bayesian Model Determination|http://www.jstor.org/stable/2337340|2337340|1995-12-01|1995|['eng']|['Mathematics - Applied mathematics']|['Science & Mathematics', 'Statistics']
Symmetric binary matrices representing relations are collected in many areas. Our focus is on dynamically evolving binary relational matrices, with interest being on inference on the relationship structure and prediction. We propose a nonparametric Bayesian dynamic model, which reduces dimensionality in characterizing the binary matrix through a lower-dimensional latent space representation, with the latent coordinates evolving in continuous time via Gaussian processes. By using a logistic mapping function from the link probability matrix space to the latent relational space, we obtain a flexible and computationally tractable formulation. Employing Pólya-gamma data augmentation, an efficient Gibbs sampler is developed for posterior computation, with the dimension of the latent space automatically inferred. We provide theoretical results on flexibility of the model, and illustrate its performance via simulation experiments. We also consider an application to co-movements in world financial markets.|Nonparametric Bayes dynamic modelling of relational data|http://www.jstor.org/stable/43304694|43304694|2014-12-01|2014|['eng']|['Mathematics - Mathematical objects', 'Mathematics - Mathematical logic', 'Mathematics - Applied mathematics']|['Science & Mathematics', 'Statistics']
"Preterm birth, defined as delivery before 37 completed weeks' gestation, is a leading cause of infant morbidity and morbidity. Identifying factors related to preterm delivery is an important goal of public health professionals who wish to identify etiologic pathways to target for prevention. Validation studies are often conducted in nutritional epidemiology in order to study measurement error in instruments that are generally less invasive or less expensive than ""gold standard"" instruments. Data from such studies are then used in adjusting estimates based on the full study sample. However, measurement error in nutritional epidemiology has recently been shown to be complicated by correlated error structures in the study-wide and validation instruments. Investigators of a study of preterm birth and dietary intake designed a validation study to assess measurement error in a food frequency questionnaire (FFQ) administered during pregnancy and with the secondary goal of assessing whether a single administration of the FFQ could be used to describe intake over the relatively short pregnancy period, in which energy intake typically increases. Here, we describe a likelihood-based method via Markov chain Monte Carlo to estimate the regression coefficients in a generalized linear model relating preterm birth to covariates, where one of the covariates is measured with error and the multivariate measurement error model has correlated errors among contemporaneous instruments (i.e., FFQs, 24-hour recalls, and biomarkers). Because of constraints on the covariance parameters in our likelihood, identifiability for all the variance and covariance parameters is not guaranteed, and, therefore, we derive the necessary and sufficient conditions to identify the variance and covariance parameters under our measurement error model and assumptions. We investigate the sensitivity of our likelihood-based model to distributional assumptions placed on the true folate intake by employing semiparametric Bayesian methods through the mixture of Dirichlet process priors framework. We exemplify our methods in a recent prospective cohort study of risk factors for preterm birth. We use long-term folate as our error-prone predictor of interest, the FFQ and 24-hour recall as two biased instruments, and the serum folate biomarker as the unbiased instrument. We found that folate intake, as measured by the FFQ, led to a conservative estimate of the estimated odds ratio of preterm birth (.76) when compared to the odds ratio estimate from our likelihood-based approach, which adjusts for the measurement error (.63). We found that our parametric model led to similar conclusions to the semiparametric Bayesian model."|Structured Measurement Error in Nutritional Epidemiology: Applications in the Pregnancy, Infection, and Nutrition (PIN) Study|http://www.jstor.org/stable/27639930|27639930|2007-09-01|2007|['eng']|['Applied sciences - Engineering']|['Science & Mathematics', 'Statistics']
Motivated by the increasing use of and rapid changes in array technologies, we consider the prediction problem of fitting a linear regression relating a continuous outcome Y to a large number of covariates X, for example, measurements from current, state-of-the-art technology. For most of the samples, only the outcome Y and surrogate covariates, W, are available. These surrogates may be data from prior studies using older technologies. Owing to the dimension of the problem and the large fraction of missing information, a critical issue is appropriate shrinkage of model parameters for an optimal bias-variance trade-off. We discuss a variety of fully Bayesian and Empirical Bayes algorithms which account for uncertainty in the missing data and adaptively shrink parameter estimates for superior prediction. These methods are evaluated via a comprehensive simulation study. In addition, we apply our methods to a lung cancer data set, predicting survival time (Y) using qRT-PCR (X) and microarray (W) measurements.|BAYESIAN SHRINKAGE METHODS FOR PARTIALLY OBSERVED DATA WITH MANY PREDICTORS|http://www.jstor.org/stable/23566463|23566463|2013-12-01|2013|['eng']|['Applied sciences - Engineering', 'Mathematics - Applied mathematics']|['Mathematics', 'Science and Mathematics', 'Statistics']
We consider variable selection in the Cox regression model (Cox, 1975, Biometrika 362, 269-276) with covariates missing at random. We investigate the smoothly clipped absolute deviation penalty and adaptive least absolute shrinkage and selection operator (LASSO) penalty, and propose a unified model selection and estimation procedure. A computationally attractive algorithm is developed, which simultaneously optimizes the penalized likelihood function and penalty parameters. We also optimize a model selection criterion, called the IC Q statistic (Ibrahim, Zhu, and Tang, 2008, Journal of the American Statistical Association 103, 1648-1658), to estimate the penalty parameters and show that it consistently selects all important covariates. Simulations are performed to evaluate the finite sample performance of the penalty estimates. Also, two lung cancer data sets are analyzed to demonstrate the proposed methodology.|<strong>Variable Selection in the Cox Regression Model with Covariates Missing at Random</strong>|http://www.jstor.org/stable/40663156|40663156|2010-03-01|2010|['eng']|['Applied sciences - Engineering']|['Science & Mathematics', 'Statistics']
This article extends the nonnegative garrote method to a component selection method in a nonparametric additive model in which each univariate function is estimated with P-splines. We also establish the consistency of the procedure. An advantage of P-splines is that the fitted function is represented in a rather small basis of B-splines. A numerical study illustrates the finite-sample performance of the method and includes a comparison with other methods. The nonnegative garrote method with P-splines has the advantage of being computationally fast and performs, with an appropriate parameter selection procedure implemented, overall very well. Real data analysis leads to interesting findings. Supplementary materials for this article (technical proofs, additional numerical results, R code) are available online.|Variable Selection in Additive Models Using P-Splines|http://www.jstor.org/stable/41714926|41714926|2012-11-01|2012|['eng']|['Mathematics - Applied mathematics', 'Applied sciences - Engineering']|['Science and Mathematics', 'Statistics']
This study investigates the empirical evidence on the effects of unanticipated changes in nominal money on real output in 47 countries when viewed through a window (i.e., likelihood function) that assumes the neutrality of anticipated changes. Using a Bayesian predictivist approach, it provides a pedagogical Bayesian analysis of generated regressor models in the face of specification uncertainty involving, among other things, multiple unit roots and trend stationary alternatives.|A Bayesian View of Nominal Money and Real Output through a New Classical Macroeconomic Window|http://www.jstor.org/stable/1391778|1391778|1991-04-01|1991|['eng']|['Physical sciences - Astronomy']|['Business & Economics', 'Science & Mathematics', 'Business', 'Economics', 'Statistics']
Whether hierarchical logistic regression can reduce the sample size requirement for estimating optimal cutoff scores in a course placement service where predictive validity is measured by a threshold utility function is explored. Data from courses with varying class size were randomly partitioned into two halves per course. Nonhierarchical and hierarchical analyses were performed on each half. Compared to their nonhierarchical counterparts, hierarchically estimated cutoff scores from different halves were more stable and predicted course outcomes in the other half more accurately. These differences were most pronounced with small samples. Sample size requirements for developing cutoff scores for course placement can be substantially reduced if hierarchical logistic regression is used.|Hierarchical Logistic Regression in Course Placement|http://www.jstor.org/stable/1435317|1435317|2004-10-01|2004|['eng']|['Mathematics - Applied mathematics']|['Education', 'Social Sciences']
The paper introduces general Bayesian inference procedures for the analysis of matched case-control data. The general results hold for a wide class of likelihoods and priors. A real life example is considered to illustrate the methodology. Also, for the logistic regression model, we have shown how Bayesian inference based on the unconditional likelihood can differ substantially from one based on the conditional likelihood.|Bayesian Inference for Matched Case-Control Studies|http://www.jstor.org/stable/25053211|25053211|2002-08-01|2002|['eng']|['Mathematics - Mathematical logic', 'Mathematics - Applied mathematics']|['Science and Mathematics', 'Statistics']
We present a novel nonparametric Bayesian approach based on Levy Adaptive Regression Kernels (LARK) to model spectral data arising from MALDI-TOF (Matrix Assisted Laser Desorption Ionization Time-of-Flight) mass spectrometry. This model-based approach provides identification and quantification of proteins through model parameters that are directly interpretable as the number of proteins, mass and abundance of proteins and peak resolution, while having the ability to adapt to unknown smoothness as in wavelet based methods. Informative prior distributions on resolution are key to distinguishing true peaks from background noise and resolving broad peaks into individual peaks for multiple protein species. Posterior distributions are obtained using a reversible jump Markov chain Monte Carlo algorithm and provide inference about the number of peaks (proteins), their masses and abundance. We show through simulation studies that the procedure has desirable true-positive and false-discovery rates. Finally, we illustrate the method on five example spectra: a blank spectrum, a spectrum with only the matrix of a low-molecular-weight substance used to embed target proteins, a spectrum with known proteins, and a single spectrum and average of ten spectra from an individual lung cancer patient.|BAYESIAN NONPARAMETRIC MODELS FOR PEAK IDENTIFICATION IN MALDI-TOF MASS SPECTROSCOPY1|http://www.jstor.org/stable/23024860|23024860|2011-06-01|2011|['eng']|['Physical sciences - Astronomy']|['Mathematics', 'Science & Mathematics', 'Statistics']
Consider simple right censored survival data with a common unknown hazard rate. The hazard rate is here modelled nonparametrically, as a jump process having a martingale structure with respect to the prior distribution. For an evaluation of posterior probabilities, given the data, sample paths of the hazard rate are generated from the posterior distribution by using a dynamic version of the Gibbs sampler. The algorithm is described in detail. It is also shown how, by slightly modifying the algorithm, the procedure can be altered to correspond to a constrained estimation problem where the hazard rate is known to be increasing (or decreasing). The methods are illustrated by simulation examples.|NONPARAMETRIC BAYESIAN INFERENCE FROM RIGHT CENSORED SURVIVAL DATA, USING THE GIBBS SAMPLER|http://www.jstor.org/stable/24305530|24305530|1994-07-01|1994|['eng']|['Mathematics - Applied mathematics']|['Mathematics', 'Science and Mathematics', 'Statistics']
While studying various features of the posterior distribution of a vector-valued parameter using an MCMC sample, a subsample is often all that is available for analysis. The goal of benchmark estimation is to use the best available information, that is, the full MCMC sample, to improve future estimates made on the basis of the subsample. We discuss a simple approach to do this and provide a theoretical basis for the method. The methodology and benefits of benchmark estimation are illustrated using a well-known example from the literature. We obtain nearly a 90% reduction in MSE with the technique based on a 1-in-10 subsample and show that greater benefits accrue with the thinner subsamples that are often used in practice.|Benchmark Estimation for Markov Chain Monte Carlo Samples|http://www.jstor.org/stable/1391000|1391000|2004-09-01|2004|['eng']|['Mathematics - Applied mathematics']|['Science & Mathematics', 'Computer Science', 'Statistics']
"In many environmental valuation applications standard sample sizes for choice modelling surveys are impractical to achieve. One can improve data quality using more in-depth surveys administered to fewer respondents. We report on a study using high quality rank-ordered data elicited with the bestworst approach. The resulting ""exploded logit"" choice model, estimated on 64 responses per person, was used to study the willingness to pay for external benefits by visitors for policies which maintain the cultural heritage of alpine grazing commons. We find evidence supporting this approach and reasonable estimates of mean WTP, which appear theoretically valid and policy informative."|Exploring Scale Effects of Best/Worst Rank Ordered Choice Data to Estimate Benefits of Tourism in Alpine Grazing Commons|http://www.jstor.org/stable/41240360|41240360|2011-04-01|2011|['eng']|['Mathematics - Applied mathematics']|['Business & Economics', 'Science & Mathematics', 'Agriculture', 'Business', 'Economics']
This paper presents a new methodological approach for carrying out Bayesian inference about dynamic models for exponential family observations. The approach is simulation-based and involves the use of Markov chain Monte Carlo techniques. A Metropolis-Hastings algorithm is combined with the Gibbs sampler in repeated use of an adjusted version of normal dynamic linear models. Different alternative schemes based on sampling from the system disturbances and state parameters separately and in a block are derived and compared. The approach is fully Bayesian in obtaining posterior samples with state parameters and unknown hyperparameters. Illustrations with real datasets with sparse counts and missing values are presented. Extensions to accommodate more general evolution forms and distributions for observations and disturbances are outlined.|Markov Chain Monte Carlo for Dynamic Generalised Linear Models|http://www.jstor.org/stable/2337321|2337321|1998-03-01|1998|['eng']|['Mathematics - Mathematical objects']|['Science & Mathematics', 'Statistics']
It is common to observe a vector of discrete and/or continuous responses in scientific problems where the objective is to characterize the dependence of each response on explanatory variables and to account for the association between the outcomes. The response vector can comprise repeated observations on one variable, as in longitudinal studies or genetic studies of families, or can include observations for different variables. This paper discusses a class of models for the marginal expectations of each response and for pairwise associations. The marginal models are contrasted with log-linear models. Two generalized estimating equation approaches are compared for parameter estimation. The first focuses on the regression parameters; the second simultaneously estimates the regression and association parameters. The robustness and efficiency of each is discussed. The methods are illustrated with analyses of two data sets from public health research.|Multivariate Regression Analyses for Categorical Data|http://www.jstor.org/stable/2345947|2345947|1992-01-01|1992|['eng']|['Mathematics - Applied mathematics', 'Mathematics - Mathematical logic']|['Science & Mathematics', 'Statistics']
Current phylogenomic data sets highlight the need for species tree methods able to deal with several sources of gene tree/species tree incongruence. At the same time, we need to make most use of all available data. Most species tree methods deal with single processes of phylogenetic discordance, namely, gene duplication and loss, incomplete lineage sorting (ILS) or horizontal gene transfer. In this manuscript, we address the problem of species tree inference from multilocus, genome-wide data sets regardless of the presence of gene duplication and loss and ILS therefore without the need to identify orthologs or to use a single individual per species. We do this by extending the idea of Maximum Likelihood (ML) supertrees to a hierarchical Bayesian model where several sources of gene tree/species tree disagreement can be accounted for in a modular manner. We implemented this model in a computer program called guenomu whose inputs are posterior distributions of unrooted gene tree topologies for multiple gene families, and whose output is the posterior distribution of rooted species tree topologies. We conducted extensive simulations to evaluate the performance of our approach in comparison with other species tree approaches able to deal with more than one leaf from the same species. Our method ranked best under simulated data sets, in spite of ignoring branch lengths, and performed well on empirical data, as well as being fast enough to analyze relatively large data sets. Our Bayesian supertree method was also very successful in obtaining better estimates of gene trees, by reducing the uncertainty in their distributions. In addition, our results show that under complex simulation scenarios, gene tree parsimony is also a competitive approach once we consider its speed, in contrast to more sophisticated models.|A Bayesian Supertree Model for Genome-Wide Species Tree Reconstruction|http://www.jstor.org/stable/44028765|44028765|2016-05-01|2016|['eng']|['Applied sciences - Engineering', 'Biological sciences - Biology']|['Ecology & Evolutionary Biology', 'Science & Mathematics', 'Biological Sciences']
The paper investigates the link between area-based socio-economic deprivation and the incidence of child pedestrian casualties. The analysis is conducted by using data for small spatial zones within major British cities over the period 2001-2007. Spatial longitudinal generalized linear mixed models, estimated by using frequentist and Bayesian approaches, are used to address issues of confounding, spatial dependence and transmission of deprivation effects across zones (i.e. interference). The results show a consistent strong deprivation effect across model specifications. The incidence of child pedestrian casualties in the most deprived zones is typically greater than 10 times that in the least deprived zones. Modelling interference through a spatially auto-regressive covariate uncovers a substantially larger effect.|Quantifying the effect of area deprivation on child pedestrian casualties by using longitudinal mixed models to adjust for confounding, interference and spatial dependence|http://www.jstor.org/stable/43965365|43965365|2013-10-01|2013|['eng']|['Physical sciences - Astronomy']|['Science & Mathematics', 'Statistics']
Statistical clustering of criminal events can be used by crime analysts to create lists of potential suspects for an unsolved crime, to identify groups of crimes that may have been committed by the same individuals or group of individuals, for offender profiling and for predicting future events. We propose a Bayesian model-based clustering approach for criminal events. Our approach is semisupervised, because the offender is known for a subset of the events, and utilizes spatiotemporal crime locations as well as crime features describing the offender's modus operandi. The hierarchical model naturally handles complex features that are often seen in crime data, including missing data, interval-censored event times and a mix of discrete and continuous variables. In addition, our Bayesian model produces posterior clustering probabilities which allow analysts to act on model output only as warranted. We illustrate the approach by using a large data set of burglaries in 2009-2010 in Baltimore County, Maryland.|Partially supervised spatiotemporal clustering for burglary crime series identification|http://www.jstor.org/stable/43965483|43965483|2015-02-01|2015|['eng']|['Applied sciences - Engineering']|['Science & Mathematics', 'Statistics']
A two-groups mixed-effects model for the comparison of (normalized) microarray data from two treatment groups is considered. Most competing parametric methods that have appeared in the literature are obtained as special cases or by minor modification of the proposed model. Approximate maximum likelihood fitting is accomplished via a fast and scalable algorithm, which we call LEMMA (Laplace approximated EM Microarray Analysis). The posterior odds of treatment x gene interactions, derived from the model, involve shrinkage estimates of both the interactions and of the gene specific error variances. Genes are classified as being associated with treatment based on the posterior odds and the local false discovery rate (f. d. r.) with a fixed cutoff. Our model-based approach also allows one to declare the non-null status of a gene by controlling the false discovery rate (FDR). It is shown in a detailed simulation study that the approach outperforms wellknown competitors. We also apply the proposed methodology to two previously analyzed microarray examples. Extensions of the proposed method to paired treatments and multiple treatments are also discussed.|Laplace Approximated EM Microarray Analysis: An Empirical Bayes Approach for Comparative Microarray Experiments|http://www.jstor.org/stable/41058954|41058954|2010-08-01|2010|['eng']|['Applied sciences - Engineering']|['Science and Mathematics', 'Statistics']
A key question in evaluation of computer models is Does the computer model adequately represent reality? A six-step process for computer model validation is set out in Bayarri et al. [Technometrics 49 (2007) 138-154] (and briefly summarized below), based on comparison of computer model runs with field data of the process being modeled. The methodology is particularly suited to treating the major issues associated with the validation process: quantifying multiple sources of error and uncertainty in computer models; combining multiple sources of information; and being able to adapt to different, but related scenarios. Two complications that frequently arise in practice are the need to deal with highly irregular functional data and the need to acknowledge and incorporate uncertainty in the inputs. We develop methodology to deal with both complications. A key part of the approach utilizes a wavelet representation of the functional data, applies a hierarchical version of the scalar validation methodology to the wavelet coefficients, and transforms back, to ultimately compare computer model output with field output. The generality of the methodology is only limited by the capability of a combination of computational tools and the appropriateness of decompositions of the sort (wavelets) employed here. The methods and analyses we present are illustrated with a test bed dynamic stress analysis for a particular engineering system.|Computer Model Validation with Functional Output|http://www.jstor.org/stable/25464566|25464566|2007-10-01|2007|['eng']|['Applied sciences - Engineering', 'Information science - Coding theory', 'Philosophy - Logic']|['Science & Mathematics', 'Statistics']
A Bayesian semiparametric proportional hazards model is presented to describe the failure behavior of machine tools. The semiparametric setup is introduced using a mixture of Dirichlet processes prior. A Bayesian analysis is performed on real machine tool failure data using the semiparametric setup, and development of optimal replacement strategies are discussed. The results of the semiparametric analysis and the replacement policies are compared with those under a parametric model.|A Bayesian Semiparametric Analysis of the Reliability and Maintenance of Machine Tools|http://www.jstor.org/stable/25046975|25046975|2003-02-01|2003|['eng']|['Applied sciences - Engineering']|['Science & Mathematics', 'Statistics']
This paper studies the determinants of urban sprawl in France using panel datasets for the four largest metropolitan areas (Paris, Lyon, Marseille, Lille) over the period 1985-98. A measure of urban sprawl is proposed at municipality level. Due to the huge heterogeneity of the panels, it seems difficult to make the fundamental homogeneity assumption underlying pooled models. Thus, random coefficient models under heteroscedasticity of the disturbances are estimated for each metropolitan area using a hierarchical Bayes approach based on the Markov chain Monte Carlo simulation method. It is found that urban sprawl is positively related to the income growth of the tax payers' fiscal households for the period of rapid growth in the late 1980s. At the opposite extreme, the income effects are negative for non-tax payers. During the recession, income effects are significant neither for tax payers' nor for non-tax payers' fiscal households and are significantly positive for tax payers and negative for non-tax payers over the recovery. Finally, on average, the inequality index—difference of average net income between tax payers and exempted fiscal households—has a lower impact on urban sprawl than the income effect.|Determinants of Urban Sprawl in France: An Analysis Using a Hierarchical Bayes Approach on Panel Data|http://www.jstor.org/stable/43081895|43081895|2011-10-01|2011|['eng']|['Mathematics - Applied mathematics']|['Social Sciences', 'Urban Studies']
Selection of significant genes via expression patterns is important in a microarray problem. Owing to small sample size and large number of variables (genes), the selection process can be unstable. This paper considers hierarchical Bayesian gene selection model for survival data. In survival analysis the popular models are usually well suited for data with few covariates and many observations (subjects). In contrast for a typical setting of gene expression data from DNA microarray, we need to consider the case where the number of covariates p exceeds the number of samples n. For a given vector of response values which are times to event (death or censored times) and p gene expressions (covariates), we address the issue of how to reduce the dimension by selecting the significant genes. This approach enables us to estimate the survival curve when n &lt; &lt; p. In our approach, rather than fixing the number of selected genes, we assign a prior distribution to this number. That way it creates additional flexibility by allowing the imposition of constraints, such as bounding the dimension via a prior, which in effect works as a penalty. To implement our methodology, we use a Markov Chain Monte Carlo (MCMC) method. We demonstrate the use of the methodology to diffuse large B-cell lymphoma (DLBCL) complementary DNA (cDNA) data and Breast Carcinomas data.|Bayesian Methods for Variable Selection in Survival Models with Application to DNA Microarray Data|http://www.jstor.org/stable/25053399|25053399|2004-11-01|2004|['eng']|['Applied sciences - Engineering', 'Biological sciences - Biology']|['Science and Mathematics', 'Statistics']
We consider the asymptotic behavior of posterior distributions and Bayes estimators based on observations which are required to be neither independent nor identically distributed. We give general results on the rate of convergence of the posterior measure relative to distances derived from a testing criterion. We then specialize our results to independent, nonidentically distributed observations, Markov processes, stationary Gaussian time series and the white noise model. We apply our general results to several examples of infinite-dimensional statistical models including nonparametric regression with normal errors, binary regression, Poisson regression, an interval censoring model, Whittle estimation of the spectral density of a time series and a nonlinear autoregressive model.|Convergence Rates of Posterior Distributions for Noniid Observations|http://www.jstor.org/stable/25463553|25463553|2007-02-01|2007|['eng']|['Mathematics - Mathematical logic', 'Mathematics - Mathematical objects']|['Science & Mathematics', 'Statistics']
Adoption of conservation tillage practice in agriculture offers the potential to mitigate greenhouse gas emissions. Studies comparing conservation tillage methods to traditional tillage pair fields under the two management systems and obtain soil core samples from each treatment. Cores are divided into multiple increments, and matching increments from one or more cores are aggregated and analyzed for carbon stock. These data represent not the actual value at a specific depth, but rather the total or average over a depth increment. A semiparametric mixed model is developed for such increment-averaged data. The model uses parametric fixed effects to represent covariate effects, random effects to capture correlation within studies, and an integrated smooth function to describe effects of depth. The depth function is specified as an additive model, estimated with penalized splines using standard mixed model software. Smoothing parameters are automatically selected using restricted maximum likelihood. The methodology is applied to the problem of estimating a change in carbon stock due to a change in tillage practice.|Semiparametric Mixed Models for Increment-Averaged Data with Application to Carbon Sequestration in Agricultural Soils|http://www.jstor.org/stable/27639926|27639926|2007-09-01|2007|['eng']|['Applied sciences - Engineering']|['Science & Mathematics', 'Statistics']
The authors develop and estimate a model of online buying using clickstream data from a Web site that sells cars. The model predicts online buying by linking the purchase decision to what visitors do and to what they are exposed to while at the site. To overcome the challenges of predicting Internet buying, the authors decompose the purchase process into the completion of sequential nominal user tasks and account for heterogeneity across visitors at the county level. Using a sequence of binary probits, the authors model the visitor's decision of whether to complete each task for the first time, given that the visitor has completed the previous tasks at least once. The results indicate that visitors' browsing experiences and navigational behavior predict task completion for all decision levels. The results also indicate that the number of repeat visits per se is not diagnostic of buying propensity and that a site's offering of sophisticated decision aids does not guarantee increased conversion rates. The authors also compare the predictive performance of the task-completion approach with single-stage benchmark models in a holdout sample. The proposed approach provides superior prediction and better identifies likely buyers, especially early in the task sequence. The authors also discuss implications for Web site managers.|Modeling Purchase Behavior at an E-Commerce Web Site: A Task-Completion Approach|http://www.jstor.org/stable/30162341|30162341|2004-08-01|2004|['eng']|['Information science - Data products', 'Information science - Coding theory']|['Business', 'Business & Economics Collection', 'Marketing & Advertising']
The empirical literature on the transmission of international shocks is based on small-scale VARs. In this paper, we use a large panel of data for 17 industrialized countries to investigate the international transmission mechanism, and revisit the anomalies that arise in the empirical literature. We propose a factor augmented VAR (FAVAR) that extends the model in Bernanke, Boivin, and Eliasz (2005) to the open economy. The main results can be summarized as follows. First, the dynamic effects on the UK economy of an unanticipated fall of short-term interest rates in the rest of the world are: real house price inflation, investment, GDP and consumption growth peak after 1 year, wages peak after 2 years, and CPI and GDP deflator inflation peak during the third year. Second, a positive international supply shock makes the distribution of the components of the UK consumption deflator negatively skewed. Third, in response to a domestic monetary shock, we find little evidence of the exchange rate and liquidity puzzles and little evidence of the forward discount and price anomalies.|The Transmission of International Shocks: A Factor-Augmented VAR Approach|http://www.jstor.org/stable/25483527|25483527|2009-02-01|2009|['eng']|['Mathematics - Mathematical logic']|['Business & Economics', 'Business', 'Economics', 'Finance']
Job displacement entails a substantial wage reduction for most displaced workers. We show that the mean reduction, the tenure profile of reductions, and the experience profile of reductions all vary substantially across industries. We then link this interindustry variation to analogous variation in firm size, unionization, wage levels, and the incidence of employer-provided training. While these industry characteristics explain some of the interindustry variation in mean wage reductions, they do not explain variation in the tenure or experience profiles of wage reductions.|Interindustry Variation in the Costs of Job Displacement|http://www.jstor.org/stable/2535276|2535276|1994-04-01|1994|['eng']|['Information science - Information analysis', 'Information science - Informetrics', 'Mathematics - Applied mathematics', 'Business - Business administration', 'Applied sciences - Research methods']|['Business & Economics', 'Business', 'Economics', 'Labor & Employment Relations']
In this paper we propose a Bayesian methodology for predicting match outcomes. The methodology is illustrated on the 2006 Soccer World Cup. As prior information, we make use of the specialists' opinions and the FIFA ratings. The method is applied to calculate the win, draw and loss probabilities at each match and also to simulate the whole competition in order to estimate classification probabilities in group stage and winning tournament chances for each team. The prediction capability of the proposed methodology is determined by the DeFinetti measure and by the percentage of correct forecasts.|A Bayesian approach for predicting match outcomes: The 2006 (Association) Football World Cup|http://www.jstor.org/stable/40802329|40802329|2010-10-01|2010|['eng']|['Physical sciences - Astronomy']|['Business', 'Business & Economics Collection']
This paper presents a unified treatment of Gaussian process models that extends to data from the exponential dispersion family and to survival data. Our specific interest is in the analysis of data sets with predictors that have an a priori unknown form of possibly nonlinear associations to the response. The modeling approach we describe incorporates Gaussian processes in a generalized linear model framework to obtain a class of nonparametric regression models where the covariance matrix depends on the predictors. We consider, in particular, continuous, categorical and count responses. We also look into models that account for survival outcomes. We explore alternative covariance formulations for the Gaussian process prior and demonstrate the flexibility of the construction. Next, we focus on the important problem of selecting variables from the set of possible predictors and describe a general framework that employs mixture priors. We compare alternative MCMC strategies for posterior inference and achieve a computationally efficient and practical approach. We demonstrate performances on simulated and benchmark data sets.|Variable Selection for Nonparametric Gaussian Process Priors: Models and Computational Strategies|http://www.jstor.org/stable/23059160|23059160|2011-02-01|2011|['eng']|['Mathematics - Mathematical logic']|['Science and Mathematics', 'Statistics']
A method for the Bayesian restoration of noisy binary images portraying an object with constant grey level on a background is presented. The restoration, performed by fitting a polygon with any number of sides to the object's outline, is driven by a new probabilistic model for the generation of polygons in a compact subset of R2, which is used as a prior distribution for the polygon. Some measurability issues raised by the correct specification of the model are addressed. The simulation from the prior and the calculation of the a posteriori mean of grey levels are carried out through reversible jump Markov chain Monte Carlo computation, whose implementation and convergence properties are also discussed. One example of restoration of a synthetic image is presented and compared with existing pixel-based methods.|Boundary Detection Through Dynamic Polygons|http://www.jstor.org/stable/2985934|2985934|1998-01-01|1998|['eng']|['Mathematics - Mathematical logic']|['Science & Mathematics', 'Statistics']
